Child DCN,Child MOSIS ID,RefVisitingType.Description,VisitDate
0000000739,000739,Developmental Check,2021-11-30
0000000741,000741,Home Visit,2023-05-06
0000000741,000741,Case Management,2022-02-07
0000000741,000741,Developmental Check,2022-03-31
0000000742,000742,Home Visit,2018-12-10
0000000742,000742,Developmental Check,2019-10-14
0000000743,000743,Case Management,2021-04-09
0000000743,000743,Developmental Check,2020-11-28
0000000743,000743,Developmental Check,2021-04-03
0000000743,000743,Family Support Visit,2020-12-15
0000000743,000743,Home Visit,2021-04-22
0000000744,000744,Family Support Visit,2022-06-07
0000000744,000744,Home Visit,2022-12-01
0000000745,000745,Developmental Check,2024-01-16
0000000745,000745,Family Support Visit,2025-05-07
0000000748,000748,Home Visit,2023-03-06
0000000749,000749,Family Support Visit,2025-07-26
0000000750,000750,Family Support Visit,2023-03-16
0000000750,000750,Case Management,2022-01-29
0000000750,000750,Family Support Visit,2023-05-23
0000000750,000750,Developmental Check,2022-02-27
0000000750,000750,Case Management,2023-05-18
0000000751,000751,Home Visit,2020-06-05
0000000751,000751,Home Visit,2020-03-30
0000000751,000751,Family Support Visit,2020-10-21
0000000751,000751,Family Support Visit,2020-03-21
0000000753,000753,Home Visit,2023-03-15
0000000754,000754,Home Visit,2020-01-16
0000000754,000754,Developmental Check,2020-06-21
0000000754,000754,Home Visit,2018-11-26
0000000754,000754,Home Visit,2022-03-13
0000000755,000755,Developmental Check,2023-09-01
0000000755,000755,Home Visit,2021-09-02
0000000756,000756,Family Support Visit,2025-10-18
0000000756,000756,Home Visit,2023-06-21
0000000756,000756,Developmental Check,2023-07-24
0000000756,000756,Case Management,2024-03-20
0000000757,000757,Case Management,2021-11-21
0000000758,000758,Case Management,2023-05-12
0000000759,000759,Case Management,2021-11-11
0000000760,000760,Family Support Visit,2021-03-21
0000000760,000760,Home Visit,2022-01-15
0000000760,000760,Family Support Visit,2023-03-30
0000000760,000760,Home Visit,2022-03-12
0000000761,000761,Family Support Visit,2021-02-06
0000000761,000761,Home Visit,2020-07-28
0000000761,000761,Home Visit,2020-10-19
0000000762,000762,Family Support Visit,2021-11-25
0000000763,000763,Case Management,2020-08-04
0000000763,000763,Home Visit,2020-05-15
0000000763,000763,Family Support Visit,2020-08-22
0000000763,000763,Family Support Visit,2020-07-30
0000000765,000765,Developmental Check,2022-03-25
0000000765,000765,Home Visit,2024-09-20
0000000766,000766,Case Management,2022-09-06
0000000766,000766,Case Management,2025-01-26
0000000766,000766,Case Management,2022-07-07
0000000766,000766,Family Support Visit,2022-05-11
0000000767,000767,Home Visit,2019-06-25
0000000767,000767,Home Visit,2020-07-27
0000000767,000767,Home Visit,2021-01-16
0000000768,000768,Family Support Visit,2019-05-08
0000000768,000768,Home Visit,2019-05-14
0000000768,000768,Home Visit,2018-11-09
0000000770,000770,Family Support Visit,2024-10-23
0000000771,000771,Family Support Visit,2025-03-26
0000000771,000771,Developmental Check,2023-06-16
0000000772,000772,Case Management,2022-08-06
0000000772,000772,Home Visit,2021-12-31
0000000774,000774,Family Support Visit,2020-05-05
0000000774,000774,Family Support Visit,2020-07-15
0000000775,000775,Home Visit,2019-03-26
0000000775,000775,Family Support Visit,2022-01-10
0000000775,000775,Home Visit,2019-07-02
0000000775,000775,Developmental Check,2018-12-29
0000000776,000776,Developmental Check,2021-11-30
0000000776,000776,Home Visit,2022-02-10
0000000776,000776,Developmental Check,2021-12-12
0000000776,000776,Home Visit,2022-01-23
0000000777,000777,Family Support Visit,2024-11-13
0000000778,000778,Case Management,2021-11-30
0000000778,000778,Home Visit,2020-08-25
0000000778,000778,Case Management,2020-09-10
0000000778,000778,Family Support Visit,2022-08-01
0000000778,000778,Home Visit,2022-01-20
0000000779,000779,Case Management,2022-11-28
0000000779,000779,Family Support Visit,2021-11-26
0000000780,000780,Family Support Visit,2019-03-19
0000000782,000782,Developmental Check,2023-08-28
0000000782,000782,Developmental Check,2023-02-06
0000000783,000783,Developmental Check,2024-05-27
0000000783,000783,Home Visit,2024-05-18
0000000783,000783,Family Support Visit,2022-12-15
0000000783,000783,Family Support Visit,2023-09-29
0000000784,000784,Home Visit,2022-06-28
0000000784,000784,Family Support Visit,2022-03-07
0000000784,000784,Home Visit,2022-02-27
0000000785,000785,Case Management,2023-08-20
0000000785,000785,Developmental Check,2023-04-15
0000000785,000785,Home Visit,2023-04-20
0000000785,000785,Family Support Visit,2024-02-25
0000000786,000786,Developmental Check,2022-09-18
0000000787,000787,Developmental Check,2023-01-14
0000000788,000788,Case Management,2021-05-21
0000000788,000788,Developmental Check,2019-11-10
0000000788,000788,Developmental Check,2020-12-11
0000000789,000789,Family Support Visit,2023-10-24
0000000789,000789,Case Management,2023-02-07
0000000789,000789,Developmental Check,2026-05-30
0000000789,000789,Home Visit,2026-01-23
0000000790,000790,Home Visit,2024-07-16
0000000790,000790,Case Management,2024-01-21
0000000791,000791,Case Management,2023-06-02
0000000791,000791,Case Management,2025-08-31
0000000791,000791,Family Support Visit,2026-09-04
0000000791,000791,Developmental Check,2023-04-02
0000000792,000792,Home Visit,2019-10-24
0000000792,000792,Home Visit,2019-09-28
0000000792,000792,Family Support Visit,2020-01-21
0000000793,000793,Developmental Check,2023-06-30
0000000793,000793,Home Visit,2023-04-30
0000000793,000793,Family Support Visit,2023-04-09
0000000794,000794,Family Support Visit,2022-09-28
0000000795,000795,Case Management,2023-08-02
0000000795,000795,Case Management,2025-05-12
0000000798,000798,Family Support Visit,2022-12-07
0000000798,000798,Home Visit,2023-03-27
0000000798,000798,Family Support Visit,2022-09-13
0000000799,000799,Developmental Check,2021-01-07
0000000800,000800,Developmental Check,2019-11-15
0000000802,000802,Developmental Check,2019-05-14
0000000802,000802,Case Management,2019-01-26
0000000802,000802,Family Support Visit,2018-12-26
0000000803,000803,Case Management,2022-09-02
0000000804,000804,Family Support Visit,2022-08-14
0000000804,000804,Family Support Visit,2022-05-08
0000000805,000805,Home Visit,2022-05-14
0000000806,000806,Case Management,2021-06-16
0000000806,000806,Case Management,2021-03-20
0000000806,000806,Family Support Visit,2021-04-11
0000000807,000807,Home Visit,2021-12-30
0000000807,000807,Home Visit,2021-02-06
0000000808,000808,Developmental Check,2021-01-09
0000000808,000808,Developmental Check,2020-05-10
0000000808,000808,Home Visit,2020-06-02
0000000810,000810,Family Support Visit,2021-08-29
0000000810,000810,Case Management,2024-06-29
0000000811,000811,Case Management,2023-07-28
0000000811,000811,Home Visit,2023-02-28
0000000811,000811,Home Visit,2023-05-29
0000000812,000812,Home Visit,2023-07-23
0000000813,000813,Home Visit,2021-12-21
0000000813,000813,Family Support Visit,2022-03-21
0000000813,000813,Home Visit,2022-08-19
0000000814,000814,Case Management,2023-06-14
0000000814,000814,Developmental Check,2022-01-31
0000000815,000815,Family Support Visit,2024-09-28
0000000815,000815,Developmental Check,2024-04-21
0000000816,000816,Home Visit,2019-10-22
0000000816,000816,Case Management,2020-02-23
0000000816,000816,Home Visit,2020-02-23
0000000818,000818,Developmental Check,2022-10-11
0000000818,000818,Developmental Check,2021-07-14
0000000820,000820,Case Management,2023-07-11
0000000820,000820,Case Management,2022-12-05
0000000821,000821,Case Management,2023-12-13
0000000821,000821,Case Management,2020-09-09
0000000822,000822,Developmental Check,2022-09-14
0000000822,000822,Home Visit,2021-12-20
0000000822,000822,Developmental Check,2022-02-07
0000000822,000822,Developmental Check,2022-07-30
0000000822,000822,Case Management,2022-09-19
0000000823,000823,Family Support Visit,2023-12-28
0000000823,000823,Case Management,2023-05-27
0000000824,000824,Home Visit,2021-05-26
0000000825,000825,Case Management,2023-09-09
0000000825,000825,Family Support Visit,2022-11-14
0000000825,000825,Family Support Visit,2023-09-27
0000000825,000825,Case Management,2022-11-11
0000000825,000825,Case Management,2024-06-30
0000000827,000827,Case Management,2020-06-12
0000000827,000827,Case Management,2021-06-24
0000000827,000827,Developmental Check,2020-09-21
0000000828,000828,Home Visit,2019-04-22
0000000828,000828,Case Management,2019-02-06
0000000828,000828,Case Management,2020-06-10
0000000828,000828,Case Management,2019-06-06
0000000830,000830,Home Visit,2023-12-31
0000000830,000830,Developmental Check,2024-09-30
0000000830,000830,Developmental Check,2025-05-22
0000000831,000831,Developmental Check,2022-02-15
0000000831,000831,Home Visit,2021-06-22
0000000832,000832,Family Support Visit,2021-12-11
0000000832,000832,Family Support Visit,2022-07-18
0000000832,000832,Home Visit,2023-08-10
0000000834,000834,Home Visit,2025-03-31
0000000834,000834,Home Visit,2023-02-20
0000000834,000834,Family Support Visit,2023-08-29
0000000834,000834,Developmental Check,2025-04-23
0000000835,000835,Case Management,2021-01-15
0000000835,000835,Family Support Visit,2020-08-24
0000000835,000835,Case Management,2020-06-14
0000000835,000835,Developmental Check,2021-01-21
0000000835,000835,Family Support Visit,2020-06-30
0000000836,000836,Developmental Check,2026-04-05
0000000836,000836,Family Support Visit,2025-01-30
0000000837,000837,Home Visit,2023-07-31
0000000838,000838,Family Support Visit,2020-12-20
0000000838,000838,Case Management,2021-06-25
0000000838,000838,Case Management,2021-10-27
0000000839,000839,Family Support Visit,2021-10-02
0000000839,000839,Family Support Visit,2022-01-27
0000000840,000840,Case Management,2021-04-14
0000000840,000840,Case Management,2020-06-26
0000000840,000840,Family Support Visit,2020-10-10
0000000841,000841,Family Support Visit,2022-07-03
0000000842,000842,Family Support Visit,2020-07-06
0000000843,000843,Case Management,2021-12-01
0000000843,000843,Developmental Check,2021-12-05
0000000843,000843,Case Management,2022-07-21
0000000844,000844,Home Visit,2020-02-17
0000000844,000844,Family Support Visit,2020-08-06
0000000845,000845,Developmental Check,2020-08-16
0000000845,000845,Developmental Check,2020-11-23
0000000846,000846,Home Visit,2021-01-04
0000000846,000846,Case Management,2021-06-27
0000000846,000846,Family Support Visit,2021-02-13
0000000847,000847,Home Visit,2021-05-02
0000000847,000847,Family Support Visit,2021-07-15
0000000847,000847,Case Management,2021-07-20
0000000848,000848,Developmental Check,2023-03-27
0000000849,000849,Home Visit,2024-07-14
0000000849,000849,Developmental Check,2024-01-20
0000000849,000849,Case Management,2023-08-29
0000000851,000851,Home Visit,2022-12-29
0000000852,000852,Case Management,2023-05-20
0000000852,000852,Family Support Visit,2024-07-09
0000000852,000852,Family Support Visit,2024-06-02
0000000852,000852,Developmental Check,2023-11-04
0000000853,000853,Developmental Check,2019-08-09
0000000853,000853,Home Visit,2019-03-15
0000000853,000853,Developmental Check,2019-08-05
0000000853,000853,Developmental Check,2019-08-04
0000000854,000854,Home Visit,2019-10-16
0000000854,000854,Family Support Visit,2019-09-24
0000000854,000854,Family Support Visit,2019-08-12
0000000855,000855,Home Visit,2021-02-28
0000000855,000855,Family Support Visit,2022-08-24
0000000855,000855,Home Visit,2020-07-07
0000000856,000856,Developmental Check,2021-02-07
0000000856,000856,Case Management,2021-09-08
0000000857,000857,Case Management,2021-03-03
0000000857,000857,Home Visit,2018-11-03
0000000858,000858,Developmental Check,2020-06-20
0000000859,000859,Family Support Visit,2020-08-24
0000000859,000859,Home Visit,2020-07-26
0000000860,000860,Case Management,2020-09-17
0000000860,000860,Case Management,2020-04-06
0000000860,000860,Case Management,2020-06-15
0000000860,000860,Developmental Check,2020-08-03
0000000861,000861,Family Support Visit,2023-01-14
0000000861,000861,Developmental Check,2022-12-27
0000000861,000861,Developmental Check,2023-09-23
0000000862,000862,Case Management,2024-12-17
0000000862,000862,Home Visit,2024-12-19
0000000862,000862,Home Visit,2024-12-16
0000000862,000862,Home Visit,2023-08-04
0000000863,000863,Family Support Visit,2022-04-10
0000000864,000864,Case Management,2021-05-29
0000000864,000864,Developmental Check,2021-09-28
0000000864,000864,Family Support Visit,2021-12-09
0000000864,000864,Family Support Visit,2021-07-15
0000000865,000865,Home Visit,2024-03-24
0000000865,000865,Case Management,2024-07-07
0000000865,000865,Case Management,2024-04-19
0000000866,000866,Family Support Visit,2023-03-28
0000000867,000867,Developmental Check,2025-07-20
0000000867,000867,Family Support Visit,2025-01-01
0000000868,000868,Case Management,2021-02-28
0000000868,000868,Case Management,2020-07-19
0000000868,000868,Case Management,2020-11-03
0000000868,000868,Home Visit,2020-07-21
0000000869,000869,Home Visit,2019-11-28
0000000869,000869,Home Visit,2020-11-04
0000000869,000869,Home Visit,2019-10-03
0000000869,000869,Home Visit,2020-05-22
0000000870,000870,Case Management,2021-08-04
0000000871,000871,Home Visit,2019-03-20
0000000871,000871,Home Visit,2019-05-20
0000000871,000871,Case Management,2019-09-19
0000000871,000871,Home Visit,2019-12-29
0000000871,000871,Developmental Check,2019-04-16
0000000871,000871,Home Visit,2019-10-04
0000000872,000872,Home Visit,2023-08-21
0000000873,000873,Case Management,2024-05-09
0000000873,000873,Case Management,2024-04-20
0000000873,000873,Family Support Visit,2023-08-20
0000000874,000874,Case Management,2021-12-11
0000000874,000874,Case Management,2022-02-08
0000000876,000876,Family Support Visit,2023-03-30
0000000876,000876,Family Support Visit,2022-07-31
0000000876,000876,Case Management,2023-05-07
0000000876,000876,Case Management,2022-10-25
0000000877,000877,Developmental Check,2023-12-24
0000000877,000877,Case Management,2023-12-19
0000000878,000878,Home Visit,2021-03-28
0000000878,000878,Developmental Check,2022-07-04
0000000878,000878,Case Management,2023-07-18
0000000879,000879,Case Management,2020-03-29
0000000879,000879,Developmental Check,2020-03-25
0000000879,000879,Home Visit,2021-04-26
0000000880,000880,Family Support Visit,2022-04-14
0000000880,000880,Home Visit,2022-02-17
0000000880,000880,Developmental Check,2022-07-27
0000000880,000880,Developmental Check,2022-03-13
0000000880,000880,Developmental Check,2022-01-22
0000000880,000880,Family Support Visit,2022-03-28
0000000881,000881,Home Visit,2024-01-13
0000000882,000882,Developmental Check,2023-03-12
0000000882,000882,Developmental Check,2023-06-02
0000000882,000882,Home Visit,2024-05-15
0000000883,000883,Case Management,2023-05-08
0000000883,000883,Developmental Check,2023-03-02
0000000883,000883,Home Visit,2021-06-04
0000000885,000885,Home Visit,2023-10-13
0000000885,000885,Family Support Visit,2021-11-20
0000000886,000886,Developmental Check,2020-08-07
0000000886,000886,Case Management,2023-02-25
0000000887,000887,Home Visit,2025-05-05
0000000887,000887,Family Support Visit,2023-11-19
0000000888,000888,Case Management,2023-06-28
0000000888,000888,Home Visit,2022-11-03
0000000888,000888,Developmental Check,2024-02-05
0000000888,000888,Developmental Check,2022-05-30
0000000888,000888,Family Support Visit,2023-10-02
0000000890,000890,Case Management,2022-11-08
0000000890,000890,Family Support Visit,2023-09-24
0000000890,000890,Family Support Visit,2022-05-12
0000000890,000890,Family Support Visit,2023-07-06
0000000891,000891,Family Support Visit,2023-02-17
0000000891,000891,Family Support Visit,2025-02-01
0000000892,000892,Developmental Check,2022-07-27
0000000892,000892,Family Support Visit,2022-04-23
0000000892,000892,Home Visit,2024-03-09
0000000893,000893,Family Support Visit,2021-09-27
0000000893,000893,Family Support Visit,2020-07-20
0000000893,000893,Family Support Visit,2019-10-29
0000000893,000893,Family Support Visit,2021-05-01
0000000894,000894,Developmental Check,2020-06-13
0000000894,000894,Developmental Check,2020-02-02
0000000894,000894,Developmental Check,2020-06-15
0000000894,000894,Home Visit,2020-02-23
0000000894,000894,Family Support Visit,2019-12-15
0000000895,000895,Home Visit,2022-11-02
0000000898,000898,Home Visit,2026-02-17
0000000899,000899,Developmental Check,2022-04-04
0000000901,000901,Home Visit,2020-08-27
0000000901,000901,Case Management,2020-02-09
0000000901,000901,Case Management,2021-04-22
0000000901,000901,Family Support Visit,2020-02-27
0000000902,000902,Family Support Visit,2026-02-09
0000000902,000902,Case Management,2022-04-08
0000000903,000903,Case Management,2021-07-21
0000000904,000904,Developmental Check,2023-03-06
0000000904,000904,Home Visit,2020-03-13
0000000904,000904,Case Management,2020-04-09
0000000904,000904,Developmental Check,2019-06-09
0000000904,000904,Home Visit,2021-11-24
0000000904,000904,Family Support Visit,2021-08-25
0000000906,000906,Case Management,2020-01-06
0000000906,000906,Home Visit,2022-07-07
0000000907,000907,Home Visit,2021-04-30
0000000907,000907,Home Visit,2020-09-24
0000000907,000907,Home Visit,2019-03-17
0000000908,000908,Developmental Check,2022-05-25
0000000908,000908,Family Support Visit,2024-07-27
0000000909,000909,Case Management,2023-01-16
0000000909,000909,Case Management,2022-05-06
0000000910,000910,Case Management,2021-06-13
0000000910,000910,Family Support Visit,2024-04-06
0000000912,000912,Case Management,2022-01-23
0000000913,000913,Home Visit,2021-04-17
0000000913,000913,Case Management,2022-06-05
0000000913,000913,Developmental Check,2020-05-13
0000000914,000914,Developmental Check,2021-01-10
0000000915,000915,Developmental Check,2024-05-04
0000000915,000915,Family Support Visit,2024-12-23
0000000915,000915,Family Support Visit,2022-05-06
0000000915,000915,Case Management,2023-04-24
0000000916,000916,Case Management,2023-06-26
0000000916,000916,Developmental Check,2023-01-05
0000000917,000917,Developmental Check,2022-08-17
0000000917,000917,Home Visit,2022-05-10
0000000917,000917,Case Management,2022-02-23
0000000918,000918,Family Support Visit,2022-09-17
0000000918,000918,Family Support Visit,2022-03-10
0000000918,000918,Home Visit,2023-04-12
0000000919,000919,Developmental Check,2022-12-22
0000000920,000920,Case Management,2019-10-08
0000000920,000920,Family Support Visit,2020-03-28
0000000920,000920,Case Management,2020-03-13
0000000920,000920,Developmental Check,2020-04-12
0000000920,000920,Developmental Check,2020-04-10
0000000920,000920,Family Support Visit,2019-07-26
0000000922,000922,Home Visit,2021-08-11
0000000923,000923,Developmental Check,2021-04-27
0000000925,000925,Family Support Visit,2021-07-24
0000000925,000925,Case Management,2020-05-22
0000000925,000925,Home Visit,2020-07-17
0000000925,000925,Developmental Check,2021-04-26
0000000926,000926,Case Management,2020-07-13
0000000927,000927,Family Support Visit,2022-12-14
0000000927,000927,Case Management,2023-05-12
0000000927,000927,Home Visit,2023-05-12
0000000927,000927,Home Visit,2023-01-05
0000000928,000928,Developmental Check,2021-12-17
0000000928,000928,Family Support Visit,2021-07-25
0000000928,000928,Developmental Check,2022-04-20
0000000929,000929,Home Visit,2025-11-27
0000000930,000930,Home Visit,2021-03-16
0000000930,000930,Case Management,2022-05-21
0000000930,000930,Developmental Check,2020-10-31
0000000931,000931,Case Management,2021-02-03
0000000931,000931,Developmental Check,2021-01-29
0000000931,000931,Case Management,2021-03-10
0000000932,000932,Developmental Check,2021-10-23
0000000932,000932,Developmental Check,2021-03-28
0000000934,000934,Family Support Visit,2021-03-09
0000000934,000934,Home Visit,2024-10-06
0000000935,000935,Developmental Check,2021-08-07
0000000935,000935,Home Visit,2020-01-01
0000000935,000935,Developmental Check,2020-01-03
0000000935,000935,Family Support Visit,2021-01-12
0000000936,000936,Developmental Check,2020-09-19
0000000936,000936,Family Support Visit,2022-01-27
0000000936,000936,Home Visit,2020-12-02
0000000938,000938,Developmental Check,2019-11-07
0000000939,000939,Home Visit,2020-08-10
0000000939,000939,Home Visit,2019-07-10
0000000939,000939,Home Visit,2020-06-17
0000000940,000940,Family Support Visit,2026-07-22
0000000940,000940,Developmental Check,2023-05-04
0000000940,000940,Developmental Check,2025-02-21
0000000940,000940,Family Support Visit,2023-03-04
0000000941,000941,Home Visit,2022-12-21
0000000941,000941,Family Support Visit,2022-08-02
0000000942,000942,Case Management,2019-08-07
0000000943,000943,Family Support Visit,2023-02-08
0000000943,000943,Home Visit,2023-08-26
0000000943,000943,Developmental Check,2022-12-26
0000000945,000945,Family Support Visit,2023-10-18
0000000945,000945,Home Visit,2022-04-14
0000000946,000946,Developmental Check,2020-03-08
0000000946,000946,Developmental Check,2021-04-18
0000000946,000946,Family Support Visit,2020-03-24
0000000946,000946,Family Support Visit,2020-07-09
0000000947,000947,Home Visit,2023-12-27
0000000948,000948,Case Management,2025-02-08
0000000949,000949,Home Visit,2022-07-11
0000000950,000950,Developmental Check,2021-11-20
0000000951,000951,Home Visit,2023-01-31
0000000951,000951,Home Visit,2023-04-28
0000000951,000951,Family Support Visit,2023-04-20
0000000952,000952,Home Visit,2021-09-08
0000000952,000952,Developmental Check,2021-09-16
0000000952,000952,Case Management,2022-02-11
0000000952,000952,Case Management,2021-10-20
0000000953,000953,Home Visit,2019-09-15
0000000953,000953,Case Management,2019-07-24
0000000953,000953,Home Visit,2020-03-10
0000000954,000954,Home Visit,2022-05-22
0000000954,000954,Home Visit,2022-05-08
0000000954,000954,Family Support Visit,2022-08-07
0000000954,000954,Developmental Check,2021-12-06
0000000954,000954,Family Support Visit,2023-02-13
0000000954,000954,Family Support Visit,2022-05-13
0000000956,000956,Developmental Check,2023-01-16
0000000956,000956,Case Management,2022-10-26
0000000956,000956,Case Management,2022-07-01
0000000956,000956,Family Support Visit,2022-09-25
0000000957,000957,Developmental Check,2022-01-03
0000000957,000957,Developmental Check,2021-06-05
0000000958,000958,Case Management,2021-03-06
0000000960,000960,Case Management,2021-01-01
0000000960,000960,Case Management,2021-08-06
0000000960,000960,Family Support Visit,2020-10-25
0000000961,000961,Case Management,2022-11-30
0000000961,000961,Home Visit,2023-07-08
0000000962,000962,Home Visit,2021-07-24
0000000962,000962,Developmental Check,2022-08-22
0000000962,000962,Home Visit,2022-02-12
0000000963,000963,Family Support Visit,2022-07-29
0000000964,000964,Family Support Visit,2024-04-14
0000000965,000965,Family Support Visit,2022-05-31
0000000965,000965,Home Visit,2022-04-30
0000000966,000966,Home Visit,2020-09-27
0000000966,000966,Family Support Visit,2021-02-24
0000000966,000966,Developmental Check,2022-01-29
0000000966,000966,Case Management,2020-05-07
0000000967,000967,Family Support Visit,2019-09-15
0000000967,000967,Family Support Visit,2021-05-30
0000000967,000967,Home Visit,2020-05-09
0000000968,000968,Home Visit,2021-03-23
0000000968,000968,Home Visit,2022-01-21
0000000970,000970,Case Management,2020-02-18
0000000971,000971,Case Management,2021-11-11
0000000972,000972,Home Visit,2022-04-06
0000000972,000972,Developmental Check,2023-04-02
0000000972,000972,Home Visit,2023-03-18
0000000973,000973,Family Support Visit,2024-09-09
0000000973,000973,Home Visit,2024-12-02
0000000974,000974,Family Support Visit,2021-12-05
0000000974,000974,Home Visit,2022-03-05
0000000975,000975,Family Support Visit,2022-06-15
0000000975,000975,Case Management,2022-10-15
0000000976,000976,Case Management,2022-02-10
0000000977,000977,Home Visit,2020-05-01
0000000977,000977,Home Visit,2019-10-06
0000000978,000978,Developmental Check,2019-07-25
0000000978,000978,Case Management,2022-05-25
0000000979,000979,Home Visit,2020-06-29
0000000979,000979,Case Management,2020-10-27
0000000980,000980,Case Management,2025-03-05
0000000980,000980,Family Support Visit,2024-02-10
0000000981,000981,Home Visit,2021-02-16
0000000981,000981,Home Visit,2020-11-06
0000000981,000981,Case Management,2020-12-28
0000000981,000981,Family Support Visit,2019-01-22
0000000981,000981,Home Visit,2020-05-17
0000000981,000981,Developmental Check,2020-12-18
0000000982,000982,Home Visit,2022-04-18
0000000982,000982,Home Visit,2023-05-24
0000000982,000982,Home Visit,2022-01-06
0000000983,000983,Developmental Check,2020-12-07
0000000983,000983,Family Support Visit,2021-09-26
0000000983,000983,Developmental Check,2022-08-01
0000000983,000983,Home Visit,2020-09-30
0000000984,000984,Developmental Check,2021-12-15
0000000986,000986,Home Visit,2021-05-01
0000000986,000986,Developmental Check,2020-04-12
0000000987,000987,Home Visit,2025-03-04
0000000987,000987,Developmental Check,2024-10-13
0000000988,000988,Developmental Check,2020-09-03
0000000988,000988,Developmental Check,2021-02-24
0000000988,000988,Developmental Check,2021-01-31
0000000988,000988,Home Visit,2021-02-23
0000000989,000989,Home Visit,2023-03-07
0000000991,000991,Home Visit,2025-09-16
0000000991,000991,Home Visit,2025-05-31
0000000993,000993,Family Support Visit,2020-04-21
0000000994,000994,Case Management,2021-01-23
0000000994,000994,Developmental Check,2020-11-09
0000000994,000994,Family Support Visit,2021-04-28
0000000995,000995,Case Management,2020-08-02
0000000995,000995,Home Visit,2020-09-03
0000000995,000995,Developmental Check,2021-08-28
0000000995,000995,Home Visit,2022-09-08
0000000996,000996,Home Visit,2024-05-04
0000000997,000997,Developmental Check,2022-04-15
0000000998,000998,Case Management,2021-02-25
0000000998,000998,Case Management,2021-04-14
0000000999,000999,Case Management,2024-05-13
0000000999,000999,Home Visit,2024-07-12
0000000999,000999,Home Visit,2024-01-18
0000000999,000999,Home Visit,2024-06-28
0000001001,001001,Home Visit,2022-09-05
0000001001,001001,Developmental Check,2025-08-06
0000001001,001001,Case Management,2025-07-22
0000001002,001002,Home Visit,2021-06-28
0000001003,001003,Case Management,2020-02-23
0000001004,001004,Developmental Check,2019-10-18
0000001004,001004,Developmental Check,2022-02-05
0000001005,001005,Family Support Visit,2021-09-12
0000001005,001005,Developmental Check,2024-05-09
0000001005,001005,Case Management,2021-05-03
0000001006,001006,Family Support Visit,2020-02-03
0000001006,001006,Developmental Check,2021-01-31
0000001006,001006,Family Support Visit,2021-03-16
0000001006,001006,Developmental Check,2020-04-29
0000001006,001006,Home Visit,2020-05-02
0000001007,001007,Case Management,2024-01-06
0000001008,001008,Home Visit,2023-05-25
0000001008,001008,Family Support Visit,2022-11-17
0000001010,001010,Family Support Visit,2020-09-07
0000001010,001010,Family Support Visit,2021-02-07
0000001011,001011,Family Support Visit,2023-03-26
0000001013,001013,Home Visit,2024-10-19
0000001013,001013,Case Management,2024-12-10
0000001014,001014,Case Management,2021-09-09
0000001015,001015,Developmental Check,2023-02-23
0000001016,001016,Case Management,2024-11-12
0000001016,001016,Family Support Visit,2023-01-24
0000001016,001016,Home Visit,2023-03-09
0000001017,001017,Family Support Visit,2021-09-09
0000001017,001017,Case Management,2022-10-29
0000001019,001019,Family Support Visit,2022-09-14
0000001019,001019,Home Visit,2023-12-06
0000001019,001019,Home Visit,2023-02-08
0000001020,001020,Developmental Check,2021-12-15
0000001020,001020,Home Visit,2022-02-05
0000001020,001020,Developmental Check,2022-08-28
0000001020,001020,Family Support Visit,2022-01-24
0000001023,001023,Family Support Visit,2023-05-16
0000001024,001024,Home Visit,2022-11-20
0000001024,001024,Family Support Visit,2024-12-26
0000001024,001024,Case Management,2023-01-24
0000001024,001024,Case Management,2025-01-30
0000001025,001025,Home Visit,2024-02-10
0000001026,001026,Family Support Visit,2023-06-02
0000001026,001026,Developmental Check,2023-06-17
0000001026,001026,Case Management,2023-03-26
0000001027,001027,Family Support Visit,2023-02-05
0000001027,001027,Family Support Visit,2024-04-30
0000001029,001029,Home Visit,2022-03-06
0000001030,001030,Family Support Visit,2023-07-25
0000001030,001030,Home Visit,2023-09-01
0000001030,001030,Case Management,2023-09-16
0000001030,001030,Home Visit,2023-01-01
0000001031,001031,Developmental Check,2026-08-26
0000001031,001031,Family Support Visit,2024-07-10
0000001031,001031,Case Management,2024-09-03
0000001032,001032,Case Management,2021-10-16
0000001033,001033,Family Support Visit,2020-11-29
0000001034,001034,Case Management,2023-06-04
0000001034,001034,Case Management,2023-03-03
0000001035,001035,Developmental Check,2022-12-16
0000001035,001035,Home Visit,2024-10-23
0000001035,001035,Case Management,2023-10-04
0000001036,001036,Case Management,2022-02-04
0000001036,001036,Case Management,2022-07-17
0000001036,001036,Family Support Visit,2023-03-18
0000001036,001036,Home Visit,2023-07-03
0000001037,001037,Case Management,2019-03-04
0000001037,001037,Developmental Check,2019-03-27
0000001037,001037,Family Support Visit,2019-10-26
0000001038,001038,Home Visit,2021-10-01
0000001038,001038,Home Visit,2021-12-23
0000001038,001038,Developmental Check,2022-01-31
0000001038,001038,Developmental Check,2023-08-21
0000001039,001039,Case Management,2021-03-30
0000001039,001039,Case Management,2021-06-29
0000001039,001039,Family Support Visit,2021-06-13
0000001039,001039,Developmental Check,2021-08-03
0000001040,001040,Family Support Visit,2024-06-04
0000001040,001040,Developmental Check,2022-08-04
0000001042,001042,Case Management,2023-06-27
0000001043,001043,Case Management,2023-05-19
0000001044,001044,Developmental Check,2022-12-05
0000001045,001045,Family Support Visit,2024-01-23
0000001045,001045,Home Visit,2024-05-15
