Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000000415,000415,Early Head Start,2024-04-08,2024-04-10,2024-08-11,No,63,,Private
0000000416,000416,Early Intervention,2022-11-18,2022-11-19,2025-10-16,No,50,Early Intervention,Local
0000000416,000416,Child Care,2025-11-12,2025-11-30,2026-11-08,No,139,,State
0000000417,000417,Childcare Subsidy,2019-08-16,2019-08-26,2020-10-06,No,119,,Private
0000000418,000418,Childcare Subsidy,2019-02-15,2019-02-21,2020-01-14,No,129,,Private
0000000418,000418,Early Head Start,2020-02-06,2020-02-10,2021-01-14,No,42,,Federal
0000000418,000418,Child Care,2021-02-02,2021-02-20,2022-01-22,No,68,,Local
0000000419,000419,Early Head Start,2021-10-01,2021-10-10,2022-10-22,No,110,,Local
0000000419,000419,Childcare Subsidy,2022-11-21,2022-12-05,2025-07-20,No,157,,State
0000000419,000419,State Pre-K,2025-08-13,2025-09-06,2026-10-20,No,140,Pre-K,Local
0000000420,000420,Childcare Subsidy,2021-01-31,2021-02-09,2022-04-21,No,65,,Private
0000000421,000421,First Steps,2023-03-08,2023-03-18,2023-12-17,No,16,Early Intervention,Private
0000000421,000421,First Steps,2024-01-10,2024-01-13,2024-04-08,No,10,Early Intervention,Federal
0000000421,000421,Home Visiting,2024-04-17,2024-04-26,2024-10-24,Yes,12,,State
0000000422,000422,Early Intervention,2019-02-02,2019-02-26,2019-12-31,No,38,Early Intervention,State
0000000422,000422,Child Care,2020-01-08,2020-01-30,2022-01-21,No,173,,Local
0000000423,000423,Early Head Start,2020-07-26,2020-08-04,2022-11-01,No,63,,Private
0000000423,000423,State Pre-K,2023-01-09,2023-01-31,2024-05-21,No,81,Pre-K,Local
0000000423,000423,Home Visiting,2020-01-02,2020-01-10,2022-03-29,Yes,23,,State
0000000424,000424,First Steps,2022-03-16,2022-03-27,2023-11-13,No,14,Early Intervention,State
0000000425,000425,Childcare Subsidy,2020-12-02,2020-12-20,2023-10-05,No,92,,Federal
0000000426,000426,Early Head Start,2022-08-03,2022-08-05,2023-11-18,No,138,,State
0000000427,000427,Child Care,2019-11-02,2019-11-19,2020-04-13,No,75,,Local
0000000427,000427,Childcare Subsidy,2020-07-21,2020-08-11,2021-03-20,No,89,,Federal
0000000427,000427,Head Start,2021-09-13,2021-10-11,2022-02-05,No,76,Pre-K,Local
0000000428,000428,Childcare Subsidy,2022-09-26,2022-10-01,2024-12-18,No,71,,Federal
0000000428,000428,Head Start,2025-01-21,2025-02-11,2026-04-11,No,88,Pre-K,Private
0000000429,000429,Early Head Start,2019-09-06,2019-10-05,2021-02-03,No,56,,Private
0000000429,000429,Childcare Subsidy,2021-03-03,2021-03-23,2023-08-01,No,187,,Local
0000000429,000429,State Pre-K,2023-08-22,2023-09-12,2024-10-20,No,76,Pre-K,Federal
0000000430,000430,Childcare Subsidy,2020-05-02,2020-05-21,2022-07-10,No,84,,Private
0000000430,000430,Head Start,2022-08-08,2022-08-19,2024-10-06,No,126,Pre-K,Federal
0000000430,000430,Childcare Subsidy,2020-05-05,2020-06-01,2023-03-24,No,183,,Private
0000000431,000431,Child Care,2020-10-24,2020-11-13,2021-08-19,No,48,,Local
0000000431,000431,Child Care,2022-01-17,2022-02-10,2022-09-01,No,73,,Local
0000000431,000431,First Steps,2022-12-06,2022-12-21,2023-11-11,No,12,Early Intervention,State
0000000432,000432,Childcare Subsidy,2022-02-25,2022-03-09,2023-05-16,No,112,,Local
0000000433,000433,First Steps,2020-07-08,2020-07-24,2021-01-20,No,32,Early Intervention,Local
0000000433,000433,First Steps,2021-04-04,2021-04-26,2021-12-18,No,23,Early Intervention,Private
0000000434,000434,First Steps,2020-05-28,2020-06-25,2021-11-26,No,44,Early Intervention,Local
0000000435,000435,Home Visiting,2018-10-15,2018-10-25,2018-12-29,Yes,7,,State
0000000435,000435,Child Care,2019-06-04,2019-06-09,2019-09-19,No,93,,Local
0000000435,000435,First Steps,2019-12-10,2019-12-17,2020-03-26,No,15,Early Intervention,Local
0000000436,000436,Early Intervention,2020-11-24,2020-12-13,2022-06-11,No,33,Early Intervention,Local
0000000437,000437,Childcare Subsidy,2021-10-30,2021-11-04,2023-08-28,No,110,,Local
0000000437,000437,Childcare Subsidy,2021-12-04,2021-12-19,2025-02-04,No,95,,State
0000000437,000437,Childcare Subsidy,2025-05-11,2025-05-26,2025-11-20,No,52,,Local
0000000438,000438,Home Visiting,2020-06-20,2020-07-03,2022-03-22,Yes,19,,Local
0000000439,000439,Child Care,2020-12-16,2020-12-28,2022-05-28,No,175,,Local
0000000439,000439,Head Start,2022-07-17,2022-07-30,2023-06-11,No,66,Pre-K,Local
0000000439,000439,Head Start,2023-08-18,2023-08-29,2024-07-14,No,95,Pre-K,Federal
0000000440,000440,Child Care,2021-08-09,2021-09-02,2022-03-29,No,63,,Federal
0000000440,000440,Early Intervention,2022-09-11,2022-09-27,2023-08-30,No,23,Early Intervention,State
0000000440,000440,Head Start,2023-11-03,2023-12-01,2024-10-03,No,97,Pre-K,Private
0000000441,000441,Early Head Start,2022-12-02,2022-12-30,2025-05-10,No,186,,State
0000000442,000442,Child Care,2021-02-25,2021-03-25,2022-12-03,No,107,,Private
0000000442,000442,Head Start,2023-03-13,2023-03-18,2024-12-09,No,151,Pre-K,Private
0000000442,000442,Early Intervention,2020-06-11,2020-06-15,2021-12-26,No,56,Early Intervention,Federal
0000000442,000442,Early Head Start,2022-03-09,2022-03-14,2024-02-07,No,112,,Federal
0000000442,000442,State Pre-K,2024-04-11,2024-04-13,2024-12-09,No,149,Pre-K,Local
0000000443,000443,Child Care,2022-10-27,2022-11-20,2023-03-10,No,49,,Federal
0000000444,000444,Childcare Subsidy,2019-02-11,2019-03-13,2020-01-06,No,74,,Federal
0000000444,000444,First Steps,2020-01-11,2020-02-10,2020-09-08,No,16,Early Intervention,Local
0000000444,000444,Childcare Subsidy,2020-09-12,2020-09-27,2021-02-04,No,111,,Private
0000000445,000445,First Steps,2019-11-06,2019-12-06,2020-06-27,No,42,Early Intervention,Federal
0000000445,000445,Childcare Subsidy,2020-07-08,2020-07-21,2021-11-17,No,81,,Local
0000000446,000446,Child Care,2020-06-01,2020-07-01,2023-03-22,No,135,,Private
0000000446,000446,Childcare Subsidy,2023-04-19,2023-05-01,2024-07-22,No,58,,Federal
0000000447,000447,Home Visiting,2022-09-05,2022-09-13,2025-09-02,Yes,22,,State
0000000447,000447,Head Start,2025-09-10,2025-09-17,2026-10-23,No,117,Pre-K,Federal
0000000448,000448,Childcare Subsidy,2021-01-30,2021-02-04,2022-12-31,No,182,,Federal
0000000448,000448,Early Head Start,2023-01-31,2023-02-11,2024-09-29,No,149,,Private
0000000449,000449,Early Intervention,2019-02-19,2019-03-02,2019-09-13,No,30,Early Intervention,State
0000000449,000449,Child Care,2019-09-30,2019-10-12,2020-05-25,No,94,,State
0000000450,000450,Early Intervention,2020-02-18,2020-02-24,2021-03-29,No,41,Early Intervention,Federal
0000000451,000451,First Steps,2022-01-17,2022-02-06,2024-07-03,No,27,Early Intervention,Private
0000000451,000451,State Pre-K,2024-07-28,2024-08-11,2026-09-25,No,158,Pre-K,State
0000000452,000452,Home Visiting,2022-10-15,2022-10-20,2025-07-16,Yes,16,,State
0000000453,000453,Early Head Start,2020-09-05,2020-09-14,2021-01-08,No,105,,Private
0000000454,000454,First Steps,2022-03-04,2022-03-25,2025-02-01,No,55,Early Intervention,Local
0000000455,000455,Early Intervention,2020-06-12,2020-06-14,2021-01-14,No,35,Early Intervention,Private
0000000455,000455,Early Head Start,2021-03-16,2021-04-08,2022-10-22,No,105,,Federal
0000000455,000455,State Pre-K,2022-12-17,2022-12-24,2024-11-07,No,73,Pre-K,State
0000000456,000456,Home Visiting,2021-11-05,2021-11-17,2022-11-17,Yes,11,,Private
0000000456,000456,Childcare Subsidy,2022-11-22,2022-12-06,2025-04-13,No,173,,Private
0000000456,000456,Childcare Subsidy,2025-05-09,2025-05-22,2026-01-06,No,170,,Local
0000000457,000457,Early Head Start,2022-03-07,2022-03-17,2023-06-09,No,82,,Local
0000000458,000458,Early Intervention,2018-10-24,2018-11-06,2020-02-06,No,19,Early Intervention,State
0000000459,000459,Home Visiting,2019-09-27,2019-09-28,2020-09-08,Yes,15,,Private
0000000459,000459,Childcare Subsidy,2020-12-23,2021-01-10,2021-12-08,No,154,,Private
0000000459,000459,Head Start,2022-03-15,2022-03-20,2023-09-24,No,70,Pre-K,Federal
0000000460,000460,Child Care,2023-06-01,2023-06-20,2024-08-10,No,108,,State
0000000460,000460,Childcare Subsidy,2024-08-30,2024-09-10,2025-03-15,No,43,,State
0000000460,000460,Head Start,2025-03-23,2025-04-03,2026-01-12,No,99,Pre-K,State
0000000461,000461,Child Care,2022-12-15,2022-12-23,2023-07-13,No,56,,State
0000000461,000461,Early Head Start,2023-11-03,2023-12-03,2024-07-11,No,52,,Private
0000000462,000462,Childcare Subsidy,2022-06-13,2022-06-20,2023-05-07,No,122,,Private
0000000462,000462,Child Care,2023-06-04,2023-06-22,2024-03-31,No,93,,Local
0000000462,000462,First Steps,2024-04-20,2024-05-11,2024-09-09,No,10,Early Intervention,Private
0000000463,000463,Early Head Start,2020-12-23,2021-01-04,2023-05-19,No,104,,State
0000000463,000463,Childcare Subsidy,2023-06-07,2023-06-17,2025-11-24,No,122,,Local
0000000463,000463,Home Visiting,2021-05-27,2021-06-08,2022-08-14,Yes,6,,Local
0000000464,000464,Child Care,2019-05-21,2019-06-02,2022-02-13,No,110,,Private
0000000465,000465,Childcare Subsidy,2020-09-18,2020-10-06,2021-05-12,No,146,,Local
0000000465,000465,Early Head Start,2021-08-03,2021-08-17,2023-07-15,No,58,,State
0000000466,000466,Childcare Subsidy,2019-07-22,2019-08-03,2020-09-12,No,117,,Local
0000000466,000466,Home Visiting,2020-10-20,2020-10-25,2022-04-11,Yes,13,,Private
0000000467,000467,Childcare Subsidy,2019-01-18,2019-02-17,2021-02-04,No,54,,Federal
0000000467,000467,Child Care,2021-02-16,2021-02-21,2021-12-15,No,162,,Federal
0000000467,000467,Childcare Subsidy,2022-01-08,2022-01-23,2023-09-15,No,191,,State
0000000468,000468,First Steps,2020-12-02,2020-12-27,2022-07-09,No,50,Early Intervention,Federal
0000000468,000468,Child Care,2022-10-26,2022-11-19,2024-07-31,No,135,,Federal
0000000469,000469,First Steps,2020-03-22,2020-03-25,2020-09-21,No,19,Early Intervention,Local
0000000469,000469,Childcare Subsidy,2020-10-14,2020-10-24,2021-09-08,No,96,,State
0000000469,000469,Early Intervention,2021-09-26,2021-10-07,2021-12-11,No,32,Early Intervention,Federal
0000000470,000470,Early Head Start,2021-09-21,2021-10-20,2024-01-01,No,62,,Private
0000000470,000470,State Pre-K,2021-11-19,2021-12-04,2026-07-01,No,125,Pre-K,Federal
0000000471,000471,Child Care,2020-11-05,2020-11-30,2022-01-05,No,167,,State
0000000471,000471,First Steps,2022-02-02,2022-02-11,2023-09-18,No,14,Early Intervention,State
0000000472,000472,Early Intervention,2021-10-05,2021-10-18,2022-09-11,No,17,Early Intervention,Private
0000000473,000473,Child Care,2018-07-23,2018-08-12,2019-07-03,No,146,,Local
0000000474,000474,First Steps,2022-01-02,2022-01-28,2023-04-26,No,35,Early Intervention,Private
0000000475,000475,Early Head Start,2022-11-11,2022-12-08,2025-03-18,No,105,,Federal
0000000476,000476,Early Head Start,2022-10-13,2022-10-16,2024-08-06,No,64,,State
0000000476,000476,Early Intervention,2024-09-02,2024-09-06,2025-07-12,No,33,Early Intervention,Local
0000000477,000477,Home Visiting,2020-08-17,2020-09-04,2022-08-24,Yes,25,,State
0000000477,000477,Childcare Subsidy,2022-11-10,2022-12-01,2024-12-18,No,174,,State
0000000477,000477,Home Visiting,2020-10-27,2020-11-03,2023-09-16,Yes,14,,State
0000000477,000477,Head Start,2023-11-01,2023-11-23,2025-04-26,No,119,Pre-K,Federal
0000000478,000478,Child Care,2021-10-04,2021-10-17,2022-05-16,No,117,,Private
0000000479,000479,Child Care,2021-10-23,2021-10-29,2022-12-02,No,194,,State
0000000479,000479,Early Head Start,2023-01-01,2023-01-04,2024-04-02,No,175,,Federal
0000000480,000480,First Steps,2020-06-04,2020-06-17,2022-04-18,No,16,Early Intervention,Local
0000000480,000480,Home Visiting,2022-04-23,2022-05-13,2023-12-25,Yes,17,,Private
0000000480,000480,State Pre-K,2024-01-17,2024-02-16,2025-07-12,No,144,Pre-K,State
0000000481,000481,Childcare Subsidy,2022-10-06,2022-10-17,2023-09-12,No,141,,State
0000000482,000482,First Steps,2021-03-12,2021-04-11,2022-01-11,No,12,Early Intervention,Local
0000000482,000482,Childcare Subsidy,2022-01-16,2022-02-07,2022-06-19,No,100,,Private
0000000482,000482,Head Start,2022-06-25,2022-07-25,2022-09-28,No,70,Pre-K,State
0000000483,000483,Early Head Start,2020-10-17,2020-11-07,2022-04-21,No,44,,State
0000000484,000484,Early Intervention,2019-05-16,2019-06-13,2022-05-19,No,13,Early Intervention,Local
0000000484,000484,State Pre-K,2022-06-07,2022-07-01,2024-05-12,No,125,Pre-K,Local
0000000484,000484,Home Visiting,2019-11-13,2019-11-20,2021-01-13,Yes,23,,Private
0000000484,000484,Home Visiting,2021-01-21,2021-02-06,2022-05-18,Yes,26,,Private
0000000485,000485,Child Care,2018-11-15,2018-12-15,2021-08-06,No,166,,Private
0000000485,000485,Childcare Subsidy,2021-08-24,2021-09-22,2023-08-23,No,155,,State
0000000486,000486,Home Visiting,2020-08-06,2020-08-13,2021-08-02,Yes,5,,Federal
0000000487,000487,Home Visiting,2020-11-15,2020-11-19,2023-07-10,Yes,25,,State
0000000487,000487,Child Care,2023-07-29,2023-08-28,2024-11-04,No,164,,Federal
0000000487,000487,Early Intervention,2020-06-17,2020-06-18,2022-09-19,No,35,Early Intervention,Local
0000000488,000488,Early Head Start,2023-01-22,2023-02-17,2023-07-10,No,116,,Federal
0000000489,000489,Childcare Subsidy,2020-10-06,2020-10-29,2022-08-16,No,95,,Federal
0000000489,000489,Childcare Subsidy,2022-12-14,2022-12-16,2023-07-18,No,83,,Local
0000000489,000489,Child Care,2023-10-26,2023-11-16,2025-09-01,No,113,,State
0000000490,000490,Home Visiting,2021-06-25,2021-07-23,2023-07-14,Yes,5,,Private
0000000490,000490,Head Start,2023-08-07,2023-08-26,2025-04-14,No,104,Pre-K,Local
0000000490,000490,Early Head Start,2021-02-03,2021-02-12,2022-05-16,No,50,,Federal
0000000491,000491,Child Care,2020-06-25,2020-07-16,2021-05-13,No,61,,Private
0000000491,000491,Early Intervention,2021-05-27,2021-06-22,2022-06-09,No,29,Early Intervention,Federal
0000000491,000491,Head Start,2022-06-22,2022-06-28,2023-03-21,No,90,Pre-K,State
0000000491,000491,Head Start,2023-04-15,2023-04-16,2023-08-13,No,61,Pre-K,State
0000000491,000491,Childcare Subsidy,2023-08-15,2023-09-01,2024-02-13,No,34,,State
0000000492,000492,Childcare Subsidy,2021-01-15,2021-02-06,2022-05-28,No,41,,Local
0000000493,000493,Early Head Start,2019-09-13,2019-10-02,2021-07-20,No,146,,Local
0000000493,000493,Early Head Start,2019-11-01,2019-11-16,2024-04-23,No,128,,Federal
0000000493,000493,Early Head Start,2020-06-04,2020-06-07,2022-07-27,No,117,,Private
0000000494,000494,First Steps,2019-12-13,2020-01-11,2022-01-10,No,50,Early Intervention,Federal
0000000494,000494,First Steps,2022-02-07,2022-02-14,2023-05-16,No,54,Early Intervention,Federal
0000000495,000495,Early Head Start,2020-08-22,2020-08-23,2022-06-23,No,134,,Federal
0000000495,000495,First Steps,2022-06-26,2022-07-09,2025-06-26,No,21,Early Intervention,Local
0000000496,000496,Childcare Subsidy,2019-10-01,2019-10-03,2022-02-26,No,125,,Private
0000000496,000496,State Pre-K,2022-02-28,2022-03-12,2023-04-02,No,101,Pre-K,State
0000000496,000496,Childcare Subsidy,2023-04-15,2023-04-28,2023-10-29,No,66,,Local
0000000497,000497,Childcare Subsidy,2022-04-26,2022-05-10,2023-09-10,No,84,,State
0000000497,000497,Child Care,2023-09-29,2023-10-13,2025-05-26,No,89,,Local
0000000498,000498,Early Head Start,2022-01-05,2022-01-06,2024-06-11,No,55,,Federal
0000000499,000499,Home Visiting,2019-08-30,2019-09-15,2020-12-28,Yes,3,,State
0000000500,000500,Home Visiting,2020-11-11,2020-12-02,2021-06-18,Yes,23,,Local
0000000500,000500,First Steps,2021-06-23,2021-06-26,2022-08-04,No,11,Early Intervention,Local
0000000501,000501,First Steps,2023-01-11,2023-02-05,2023-08-04,No,12,Early Intervention,Private
0000000501,000501,Childcare Subsidy,2023-11-04,2023-11-17,2024-04-08,No,97,,Private
0000000501,000501,Child Care,2024-06-16,2024-06-28,2025-02-26,No,94,,Private
0000000502,000502,Home Visiting,2020-07-04,2020-07-31,2021-06-24,Yes,18,,State
0000000502,000502,Early Head Start,2021-07-16,2021-08-06,2022-08-27,No,87,,Federal
0000000502,000502,State Pre-K,2022-09-03,2022-09-26,2024-07-25,No,136,Pre-K,State
0000000503,000503,Home Visiting,2022-04-06,2022-04-29,2023-08-10,Yes,18,,Private
0000000504,000504,Early Head Start,2020-04-24,2020-05-06,2022-01-19,No,161,,Local
0000000504,000504,Child Care,2022-05-05,2022-05-08,2024-04-14,No,166,,State
0000000505,000505,Child Care,2020-04-04,2020-04-10,2021-02-10,No,139,,Local
0000000505,000505,Early Intervention,2021-02-17,2021-03-03,2021-11-01,No,29,Early Intervention,Federal
0000000506,000506,Early Intervention,2018-02-28,2018-03-03,2018-11-30,No,38,Early Intervention,State
0000000506,000506,First Steps,2018-12-05,2018-12-20,2019-09-08,No,11,Early Intervention,Local
0000000506,000506,Early Intervention,2019-09-25,2019-10-10,2020-06-23,No,16,Early Intervention,State
0000000507,000507,First Steps,2020-12-09,2021-01-05,2021-04-14,No,16,Early Intervention,State
0000000508,000508,Early Intervention,2019-10-08,2019-10-11,2021-01-12,No,18,Early Intervention,Private
0000000509,000509,Home Visiting,2020-03-13,2020-04-11,2023-04-09,Yes,9,,Local
0000000510,000510,First Steps,2022-02-27,2022-03-11,2023-02-02,No,18,Early Intervention,Federal
0000000511,000511,Child Care,2018-10-28,2018-11-16,2019-09-18,No,64,,Local
0000000511,000511,Early Intervention,2019-09-27,2019-09-29,2021-01-05,No,34,Early Intervention,Local
0000000512,000512,First Steps,2019-10-04,2019-10-06,2021-09-30,No,17,Early Intervention,State
0000000512,000512,Home Visiting,2021-10-01,2021-10-07,2022-04-25,Yes,12,,Local
0000000512,000512,Child Care,2022-05-05,2022-05-20,2022-12-03,No,64,,Federal
0000000513,000513,Child Care,2021-07-29,2021-08-03,2022-07-14,No,44,,State
0000000513,000513,First Steps,2022-12-06,2022-12-09,2023-04-19,No,29,Early Intervention,State
0000000513,000513,Early Head Start,2023-10-16,2023-10-27,2024-05-19,No,141,,Local
0000000514,000514,First Steps,2020-10-07,2020-10-21,2023-01-13,No,32,Early Intervention,Private
0000000514,000514,Childcare Subsidy,2023-01-18,2023-01-28,2025-01-13,No,154,,Federal
0000000515,000515,Early Head Start,2019-06-16,2019-07-08,2022-06-18,No,71,,State
0000000516,000516,Early Intervention,2022-12-28,2023-01-25,2025-10-12,No,32,Early Intervention,Local
0000000516,000516,Child Care,2025-10-27,2025-11-19,2026-12-12,No,190,,State
0000000516,000516,Early Intervention,2022-06-14,2022-06-17,2024-04-19,No,31,Early Intervention,State
0000000517,000517,Early Head Start,2020-05-17,2020-05-22,2021-05-10,No,122,,Federal
0000000517,000517,Home Visiting,2021-05-13,2021-05-25,2022-02-20,Yes,10,,Private
0000000518,000518,Early Intervention,2021-02-13,2021-02-25,2022-10-25,No,44,Early Intervention,State
0000000518,000518,Early Intervention,2022-11-08,2022-11-27,2025-04-20,No,18,Early Intervention,State
0000000519,000519,First Steps,2022-11-16,2022-12-01,2025-07-25,No,54,Early Intervention,Federal
0000000520,000520,Childcare Subsidy,2020-10-17,2020-11-10,2023-04-13,No,82,,Federal
0000000521,000521,First Steps,2020-09-14,2020-09-18,2021-05-26,No,36,Early Intervention,State
0000000522,000522,Home Visiting,2022-09-19,2022-10-14,2023-05-03,Yes,26,,Local
0000000522,000522,Home Visiting,2023-05-15,2023-05-22,2024-02-12,Yes,15,,Federal
0000000522,000522,First Steps,2024-03-06,2024-03-08,2025-04-05,No,17,Early Intervention,Local
0000000522,000522,Child Care,2025-04-17,2025-05-09,2026-10-30,No,136,,Local
0000000523,000523,Childcare Subsidy,2020-09-16,2020-09-30,2022-12-28,No,131,,Federal
0000000523,000523,First Steps,2023-01-20,2023-02-01,2024-02-21,No,38,Early Intervention,Private
0000000523,000523,State Pre-K,2024-03-12,2024-03-15,2025-10-30,No,130,Pre-K,Local
0000000524,000524,Child Care,2020-11-22,2020-12-02,2021-09-17,No,146,,Private
0000000524,000524,Childcare Subsidy,2022-01-13,2022-01-19,2022-10-17,No,46,,Local
0000000525,000525,Child Care,2019-04-08,2019-05-08,2019-08-06,No,105,,Federal
0000000526,000526,Early Intervention,2021-07-23,2021-08-01,2023-06-11,No,25,Early Intervention,Private
0000000526,000526,State Pre-K,2021-08-31,2021-09-15,2024-12-31,No,165,Pre-K,Local
0000000527,000527,Home Visiting,2019-07-08,2019-07-16,2020-01-05,Yes,7,,Private
0000000527,000527,Early Intervention,2020-01-06,2020-01-14,2020-04-26,No,13,Early Intervention,State
0000000527,000527,First Steps,2020-05-18,2020-05-25,2021-02-17,No,15,Early Intervention,Private
0000000528,000528,Early Head Start,2021-02-17,2021-03-01,2022-09-28,No,180,,Private
0000000529,000529,Early Head Start,2020-01-18,2020-02-10,2021-09-25,No,52,,State
0000000530,000530,Early Head Start,2021-10-29,2021-11-01,2023-04-12,No,167,,Local
0000000530,000530,Early Intervention,2023-04-26,2023-05-20,2025-03-25,No,31,Early Intervention,Local
0000000531,000531,First Steps,2019-12-24,2020-01-18,2021-07-08,No,44,Early Intervention,Local
0000000531,000531,Head Start,2020-02-17,2020-03-03,2023-03-02,No,78,Pre-K,Private
0000000531,000531,Childcare Subsidy,2023-03-24,2023-04-05,2023-10-04,No,133,,Local
0000000532,000532,Child Care,2022-08-10,2022-08-23,2023-08-07,No,108,,Local
0000000533,000533,First Steps,2023-03-09,2023-03-29,2024-03-01,No,47,Early Intervention,Federal
0000000534,000534,Home Visiting,2019-04-15,2019-04-22,2020-10-18,Yes,24,,Federal
0000000534,000534,Childcare Subsidy,2020-11-13,2020-12-11,2021-08-12,No,102,,Federal
0000000535,000535,Child Care,2021-05-02,2021-05-15,2022-03-21,No,74,,State
0000000536,000536,Home Visiting,2021-11-02,2021-11-19,2023-09-26,Yes,27,,Private
0000000537,000537,Home Visiting,2022-05-15,2022-06-11,2023-05-05,Yes,11,,Private
0000000538,000538,Early Intervention,2019-07-19,2019-08-16,2021-07-22,No,30,Early Intervention,Federal
0000000538,000538,Child Care,2021-08-20,2021-08-27,2022-09-30,No,88,,Local
0000000538,000538,Head Start,2022-10-18,2022-10-19,2023-10-20,No,70,Pre-K,Local
0000000539,000539,Early Head Start,2021-09-03,2021-09-14,2022-09-28,No,110,,Federal
0000000540,000540,Early Head Start,2022-04-13,2022-04-29,2022-12-06,No,53,,State
0000000540,000540,Early Intervention,2022-12-29,2023-01-11,2024-01-08,No,37,Early Intervention,Federal
0000000540,000540,Head Start,2024-02-06,2024-02-24,2024-11-27,No,90,Pre-K,Private
0000000541,000541,Child Care,2020-03-24,2020-04-04,2021-11-09,No,121,,Local
0000000542,000542,Child Care,2021-09-28,2021-10-25,2022-07-11,No,49,,State
0000000542,000542,First Steps,2022-07-15,2022-08-08,2022-12-21,No,32,Early Intervention,Private
0000000543,000543,Home Visiting,2022-05-12,2022-05-24,2022-09-22,Yes,7,,Local
0000000544,000544,Early Intervention,2019-03-23,2019-04-16,2020-02-13,No,18,Early Intervention,Local
0000000544,000544,Child Care,2020-05-01,2020-05-13,2021-03-26,No,93,,Private
0000000544,000544,Home Visiting,2021-08-22,2021-08-23,2022-07-29,Yes,5,,State
0000000545,000545,Childcare Subsidy,2022-06-09,2022-06-15,2023-08-12,No,46,,Federal
0000000546,000546,Early Head Start,2021-07-18,2021-07-26,2023-03-26,No,131,,Local
0000000547,000547,Early Head Start,2020-01-18,2020-01-21,2021-09-08,No,136,,Federal
0000000548,000548,Home Visiting,2019-06-25,2019-07-21,2020-07-20,Yes,14,,Federal
0000000548,000548,Child Care,2020-10-15,2020-10-20,2022-03-29,No,35,,Local
0000000549,000549,Early Intervention,2020-05-29,2020-06-22,2021-02-10,No,15,Early Intervention,Private
0000000550,000550,Childcare Subsidy,2023-06-20,2023-06-30,2024-08-22,No,104,,Private
0000000550,000550,Child Care,2024-08-25,2024-09-12,2025-10-01,No,103,,Federal
0000000550,000550,Head Start,2025-10-18,2025-10-27,2027-03-15,No,79,Pre-K,Local
0000000550,000550,Early Head Start,2022-09-15,2022-10-13,2023-08-08,No,88,,Federal
0000000551,000551,Home Visiting,2018-10-25,2018-10-31,2019-07-21,Yes,13,,Local
0000000551,000551,Early Head Start,2019-07-27,2019-08-16,2021-01-17,No,72,,State
0000000552,000552,First Steps,2019-01-22,2019-02-08,2021-07-28,No,18,Early Intervention,Private
0000000553,000553,Early Intervention,2020-02-07,2020-02-29,2021-09-17,No,10,Early Intervention,State
0000000554,000554,Early Head Start,2020-08-31,2020-09-20,2021-10-26,No,52,,Private
0000000554,000554,Home Visiting,2020-10-20,2020-11-04,2024-01-14,Yes,8,,Private
0000000554,000554,Head Start,2024-01-20,2024-01-23,2024-09-30,No,139,Pre-K,Federal
0000000554,000554,Early Intervention,2020-04-02,2020-04-13,2021-09-27,No,9,Early Intervention,Federal
0000000554,000554,Early Head Start,2021-10-12,2021-11-02,2023-04-23,No,95,,State
0000000555,000555,Early Head Start,2021-07-30,2021-08-17,2022-01-26,No,105,,Local
0000000555,000555,Child Care,2022-01-27,2022-02-09,2022-06-02,No,47,,Private
0000000555,000555,Childcare Subsidy,2022-06-04,2022-06-17,2023-05-21,No,32,,Private
0000000555,000555,Home Visiting,2023-06-20,2023-07-07,2023-10-17,Yes,18,,Local
0000000555,000555,Child Care,2023-11-10,2023-11-18,2024-02-17,No,111,,Federal
0000000556,000556,Childcare Subsidy,2021-05-30,2021-06-12,2023-03-13,No,124,,State
0000000557,000557,Child Care,2019-09-22,2019-10-12,2020-09-09,No,130,,State
0000000558,000558,Early Head Start,2019-01-16,2019-02-11,2020-12-21,No,54,,State
0000000558,000558,Early Intervention,2020-12-22,2021-01-20,2023-09-15,No,26,Early Intervention,Federal
0000000559,000559,First Steps,2019-08-07,2019-09-04,2021-07-28,No,18,Early Intervention,State
0000000560,000560,Early Head Start,2022-02-15,2022-03-13,2024-08-18,No,169,,Local
0000000560,000560,Head Start,2024-09-13,2024-09-15,2026-12-05,No,116,Pre-K,State
0000000561,000561,Early Intervention,2021-10-12,2021-11-08,2023-03-17,No,48,Early Intervention,Private
0000000561,000561,Child Care,2021-12-08,2021-12-23,2025-05-19,No,62,,State
0000000562,000562,Home Visiting,2021-03-30,2021-04-01,2021-10-28,Yes,8,,State
0000000562,000562,Childcare Subsidy,2021-11-24,2021-12-11,2022-10-27,No,68,,Private
0000000563,000563,Early Head Start,2020-10-12,2020-11-02,2021-05-17,No,126,,Local
0000000563,000563,Early Intervention,2021-05-27,2021-06-12,2022-03-04,No,22,Early Intervention,State
0000000564,000564,Childcare Subsidy,2021-06-07,2021-07-03,2023-07-20,No,117,,State
0000000564,000564,Childcare Subsidy,2023-08-14,2023-08-22,2025-06-01,No,141,,State
0000000564,000564,Childcare Subsidy,2021-01-16,2021-01-25,2023-01-29,No,144,,Federal
